VendorPartNo,Make,vehicleMaxQty,Category,IsDevelopment,Worldpac,PartsAuthority,SSF,WorldPac(2016),PartsAuthority(2016),SSF(2016),Total Units Sold(2016),WorldPac(2017),PartsAuthority(2017),SSF(2017),Total Units Sold(2017),WorldPac(2018),PartsAuthority(2018),SSF(2018),Total Units Sold(2018),WorldPac(2019),PartsAuthority(2019),SSF(2019),Total Units Sold(2019),WorldPac(2020),PartsAuthority(2020),SSF(2020),Total Units Sold(2020),UnitsSold360,VIO_US,VIO_CANADA,FirstSoldDate
XJ160-03,Mercedes-Benz,1,Engine,,Yes,Yes,No,0,0,0,0,0,0,0,3,0,0,0,51,0,15,0,65,3,35,0,51,71,308063,24728,12/21/17
B-8500,Mini,1,Engine,Yes,No,Yes,Yes,0,0,0,0,0,0,0,12,348,18,49,565,0,173,157,561,0,282,133,587,743,244393,18561,12/21/17
EG90653,Mercedes-Benz,1,Engine,,Yes,Yes,No,0,0,0,0,0,0,0,5,0,0,0,83,3,0,19,87,1,1,0,49,67,528187,43488,12/19/17
169 540 1617,Mercedes-Benz,2,Brakes,,No,No,No,0,0,0,0,0,0,0,6,0,0,0,573,1,0,0,455,0,0,0,292,338,173537,22482,12/18/17
B-8292,Volvo,2,Electrical,Yes,Yes,Yes,No,0,0,0,0,0,0,0,4,293,28,0,380,187,45,0,291,71,60,0,205,266,140991,18557,12/15/17
B-8290,Volvo,2,Electrical,Yes,Yes,Yes,Yes,0,0,0,0,0,0,0,4,70,0,14,112,38,22,15,99,19,12,0,38,64,140991,18557,12/15/17
C011729,Mercedes-Benz,1,Body,Yes,Yes,Yes,Yes,0,0,0,0,75,22,28,129,381,40,30,506,262,136,130,591,149,136,80,419,589,163845,13410,12/11/17
B-,Mercedes-Benz,1,Fuel,,Yes,Yes,Yes,0,0,0,0,14,11,10,36,95,7,6,122,12,9,19,51,6,12,17,39,53,26628,1592,12/11/17
C031747,Mercedes-Benz,1,Electrical,Yes,Yes,Yes,Yes,0,0,0,0,252,22,28,332,540,20,121,864,11,5,145,353,67,9,243,505,562,101705,5936,12/11/17
G011705,BMW,1,Engine,Yes,Yes,Yes,Yes,0,0,0,0,0,0,7,9,68,14,3,96,19,8,13,43,10,2,3,24,37,12120,1340,12/11/17
G031701,Volkswagen,2,Body,Yes,Yes,No,No,0,0,0,0,0,0,0,8,0,0,0,55,0,0,0,107,2,0,0,127,160,93103,6717,12/11/17
,,0,,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,12/08/17
,,0,,,No,No,No,0,0,0,0,0,0,0,15,0,0,0,35,0,0,0,10,0,0,0,20,20,0,0,12/07/17
,,0,,,No,No,No,0,0,0,0,0,0,0,15,0,0,0,25,0,0,0,105,0,0,0,0,10,0,0,12/07/17
C101613,Porsche,1,Cooling,Yes,Yes,Yes,Yes,0,0,0,0,0,0,0,8,0,76,65,188,9,55,139,260,32,48,164,287,320,50731,5474,12/01/17
IA-BW12,BMW,1,Body,,No,No,No,0,0,0,0,0,0,0,5,0,0,0,30,0,0,0,11,0,0,0,14,16,151904,8869,11/27/17
AR760W,Mercedes-Benz,1,Climate Control,,No,No,Yes,0,0,0,0,0,0,0,22,0,0,20,121,0,0,28,106,0,0,40,109,135,107305,27370,11/17/17
G051735,Land Rover,1,Engine,Yes,No,No,No,0,0,0,0,0,0,6,15,0,0,4,23,1,0,0,14,0,0,0,21,27,59647,9849,11/16/17
MB39A-105,Mini,1,Cooling,,Yes,Yes,No,0,0,0,0,0,0,0,48,0,0,0,230,3,335,0,751,1,219,0,466,640,222896,24887,11/14/17
G101621,Volkswagen,1,Fuel,Yes,No,Yes,No,0,0,0,0,0,0,0,3,0,0,0,4,2,4,0,46,0,2,0,9,14,41497,4417,11/14/17
G101620,Audi,1,Fuel,Yes,Yes,No,No,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,28,2,0,0,12,22,68358,5563,11/14/17
B-8487,Porsche,1,Brakes,Yes,Yes,Yes,Yes,0,0,0,0,0,0,24,84,0,80,30,147,168,0,77,341,15,15,80,215,288,67348,7668,11/09/17
C111617,Porsche,2,Body,Yes,Yes,Yes,Yes,0,0,0,0,0,0,136,1164,335,273,224,1197,42,111,230,1946,18,380,421,1717,2922,17432,1665,11/09/17
,,1,,,No,No,No,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,50,50,0,0,11/06/17
,,0,,,No,No,No,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/06/17
UROMUG17,,0,,,No,No,No,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/30/17
B-8226,,1,,Yes,No,No,No,0,0,0,0,0,0,0,999,0,0,0,1500,0,0,0,1000,0,0,0,907,2400,0,0,10/27/17
C091610,Mercedes-Benz,2,Transmission,Yes,Yes,Yes,Yes,0,0,0,0,0,20,34,64,174,21,46,259,131,45,135,316,111,49,53,232,332,4071,136,10/27/17
1K0 412 303AA,Volkswagen,2,Suspension,,No,No,No,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,25,0,0,0,13,19,329358,23364,10/27/17
G031704,Mercedes-Benz,2,Body,Yes,Yes,No,No,0,0,0,0,0,0,0,6,0,0,0,56,14,0,0,77,6,0,0,104,124,42093,2867,10/27/17
G031702,Mercedes-Benz,2,Body,Yes,No,No,No,0,0,0,0,0,0,0,6,0,0,0,51,2,0,0,70,0,0,0,45,64,37225,4090,10/27/17
,,0,,,No,No,No,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10/26/17
G031707,Volvo,2,Body,Yes,Yes,Yes,No,0,0,0,0,176,0,0,200,291,0,0,363,458,75,0,623,105,89,0,274,431,140991,18557,10/25/17
G121615,Porsche,2,Body,Yes,No,No,Yes,0,0,0,0,0,0,0,31,0,0,0,114,0,0,57,240,0,0,70,166,207,7879,816,10/24/17
G051716,Porsche,2,Body,Yes,Yes,No,Yes,0,0,0,0,0,0,0,36,0,0,0,73,0,0,46,144,1,0,49,118,149,7879,816,10/24/17
C021715,Land Rover,1,Cooling,Yes,Yes,Yes,Yes,0,0,0,0,6,18,0,29,23,0,4,42,1,0,2,8,0,3,0,11,15,86438,3996,10/24/17
YH-R130pad+spring+bo,Volvo,1,Cooling,,Yes,Yes,Yes,0,0,0,0,30,0,0,47,156,29,46,289,82,6,79,212,19,12,34,95,161,281518,29346,10/24/17
88234100004,BMW,2,Body,,Yes,No,No,0,0,0,0,8,0,0,24,54,0,0,95,17,0,0,72,9,0,0,56,69,7448,610,10/24/17
88234100016,BMW,2,Body,,Yes,Yes,No,0,0,0,0,0,0,0,23,105,18,0,208,28,46,0,123,16,52,0,93,113,24002,1589,10/24/17
88234100023,BMW,2,Body,,No,No,No,0,0,0,0,0,0,0,12,0,0,0,28,0,0,0,26,0,0,0,20,25,25793,2792,10/24/17
C101601,,1,,Yes,No,No,No,0,0,0,0,0,0,0,1004,0,0,0,0,0,0,0,0,0,0,0,1000,1000,0,0,10/24/17
88234100008,Mini,2,Body,,Yes,Yes,No,0,0,0,0,0,0,0,54,0,3,0,277,2,74,0,576,4,353,0,670,799,154154,14384,10/23/17
88234100005,BMW,2,Body,,Yes,No,No,0,0,0,0,19,0,0,40,18,0,0,113,14,0,0,63,37,0,0,99,112,9636,520,10/23/17
88234100022,BMW,2,Body,,No,No,No,0,0,0,0,0,0,0,5,0,0,0,49,0,0,0,29,0,0,0,28,36,7357,647,10/23/17
88234100025,BMW,2,Body,,Yes,No,No,0,0,0,0,0,0,0,8,0,0,0,28,0,0,0,21,10,0,0,14,14,7357,647,10/23/17
88234100058,Volkswagen,1,Body,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,92,105,205132,18791,10/20/17
88234100037,Mercedes-Benz,2,Body,,No,No,No,0,0,0,0,0,0,0,16,0,0,0,15,0,0,0,10,0,0,0,18,20,57208,3770,10/18/17
88234100031,Mercedes-Benz,2,Body,,Yes,No,No,0,0,0,0,0,0,0,30,0,0,0,166,0,0,0,119,2,0,0,112,152,163845,13410,10/18/17
88234100032,Mercedes-Benz,1,Body,,No,No,No,0,0,0,0,0,0,0,10,0,0,0,26,1,0,0,21,0,0,0,38,45,10805,495,10/18/17
88234100034,Mercedes-Benz,2,Body,,Yes,No,No,0,0,0,0,0,0,0,18,0,0,0,69,6,0,0,83,2,0,0,47,73,293371,13182,10/18/17
03H 103 429H,Volkswagen,1,Engine,,Yes,Yes,Yes,0,0,0,0,339,0,0,340,2094,222,149,2762,1610,328,132,2578,1155,253,94,1919,2618,103537,15484,10/16/17
,,0,,,No,No,No,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/13/17
,,0,,,No,No,No,0,0,0,0,0,0,0,5,0,0,0,37,0,0,0,60,0,0,0,40,60,0,0,10/13/17
H12-6639,Mercedes-Benz,1,Suspension,,No,No,No,0,0,0,0,0,0,0,3,0,0,0,25,0,0,0,55,0,0,0,29,43,241879,27307,10/13/17
B-8119,Mercedes-Benz,1,Steering,Yes,Yes,Yes,No,0,0,0,0,0,0,0,11,0,0,0,44,1,8,0,64,1,31,0,56,66,52745,2034,10/13/17
C011708,BMW,2,Brakes,Yes,No,No,Yes,0,0,0,0,0,0,17,26,0,0,31,100,0,0,62,124,0,0,102,174,212,2840,70,10/11/17
B-8164,BMW,1,Electrical,Yes,Yes,Yes,No,0,0,0,0,0,0,0,27,0,0,0,113,0,19,0,122,1,109,0,190,235,41293,3318,10/11/17
LY-E010,,1,,,No,No,No,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,4,0,0,0,6,6,0,0,10/11/17
C011740,Porsche,1,Cooling,Yes,Yes,Yes,Yes,0,0,0,0,0,13,4,33,0,18,43,121,36,22,3,90,12,23,13,81,109,5119,453,10/10/17
C011714,Volkswagen,2,Fuel,Yes,Yes,Yes,Yes,0,0,0,0,0,47,110,237,445,31,95,677,346,63,149,668,1127,320,164,1739,1988,1941090,268108,10/10/17
C091611,Mercedes-Benz,2,Transmission,Yes,Yes,Yes,Yes,0,0,0,0,116,57,60,245,174,2,87,282,99,12,57,182,192,40,39,295,353,3581,122,10/10/17
B-8435,,1,,Yes,No,No,No,0,0,0,0,0,0,0,9224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/10/17
11 12 7 565 284,BMW,1,Engine,,Yes,Yes,Yes,0,0,0,0,131,1,76,309,1833,232,262,2785,2346,262,196,3347,1815,222,70,2466,3029,173764,19958,10/10/17
C101608,BMW,3,Electrical,Yes,Yes,No,Yes,0,0,0,0,0,0,35,93,69,0,17,264,134,0,84,289,19,0,160,405,524,87869,7620,10/09/17
B-8309,BMW,2,Suspension,Yes,Yes,Yes,Yes,0,0,0,0,0,0,100,475,359,0,138,1581,180,179,165,1078,43,350,169,1129,1384,704412,55500,10/09/17
LY-A155,Volkswagen,1,Cooling,,Yes,Yes,No,0,0,0,0,0,0,0,32,0,0,0,31,0,13,0,66,9,2,0,43,67,10397,690,10/06/17
C011706,Volkswagen,1,Transmission,Yes,Yes,No,No,0,0,0,0,0,0,0,43,0,0,0,70,0,0,0,21,1,0,0,26,36,823793,120390,10/06/17
3B7 412 377,Volkswagen,2,Suspension,,No,No,No,0,0,0,0,0,0,0,17,0,0,0,31,0,0,0,31,0,0,0,27,32,190808,17256,10/06/17
164 500 0049,Mercedes-Benz,1,Cooling,,Yes,Yes,No,0,0,0,0,0,0,0,24,0,0,0,79,0,38,0,168,1,164,0,304,356,243756,28036,10/05/17
LY-A143,Volkswagen,1,Cooling,,No,No,Yes,0,0,0,0,0,0,0,28,0,0,13,30,0,0,25,33,0,0,8,14,23,26834,14554,10/05/17
38-8064,BMW,1,Body,,Yes,Yes,Yes,0,0,0,0,0,0,7,47,0,0,17,115,0,0,9,87,3,6,8,76,98,5425,225,09/29/17
B-8338,Porsche,1,Engine,Yes,No,No,No,0,0,0,0,0,0,16,39,0,0,2,36,0,0,0,6,0,0,0,19,19,472,0,09/29/17
B-8339,Porsche,1,Engine,Yes,Yes,No,Yes,0,0,0,0,0,0,8,80,0,0,18,83,3,0,33,65,2,0,13,83,103,9757,536,09/29/17
B-8337,Porsche,1,Engine,Yes,Yes,No,Yes,0,0,0,0,0,0,5,74,0,0,34,82,0,0,17,33,1,0,23,55,61,9352,231,09/29/17
994005,Mercedes-Benz,2,Suspension,,No,Yes,No,0,0,0,0,0,38,0,56,0,41,0,97,0,38,0,51,0,39,0,57,67,183126,11162,09/28/17
994006,Mercedes-Benz,2,Suspension,,Yes,Yes,No,0,0,0,0,68,34,0,122,80,17,0,126,61,15,0,82,73,10,0,87,86,127913,13750,09/28/17
,,1,,,No,No,No,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/26/17
88234100041,Audi,2,Body,,Yes,No,No,0,0,0,0,0,0,0,11,0,0,0,45,0,0,0,50,2,0,0,67,78,39871,4082,09/25/17
B-8374,Porsche,2,Electrical,Yes,Yes,Yes,Yes,0,0,0,0,0,96,153,1413,0,31,123,1056,1,154,262,2035,4,59,242,1223,1401,68796,5432,09/22/17
B-8375,Porsche,2,Electrical,Yes,Yes,Yes,Yes,0,0,0,0,0,51,24,1094,33,5,25,137,54,32,87,413,43,12,55,160,200,26689,2318,09/22/17
C111613,Porsche,1,Electrical,Yes,Yes,Yes,Yes,0,0,0,0,0,26,52,222,0,26,51,313,0,77,62,292,2,68,61,276,366,75233,8784,09/22/17
B-8116,Porsche,1,Electrical,Yes,Yes,Yes,Yes,0,0,0,0,0,15,9,151,25,3,27,86,21,26,34,118,5,17,17,118,189,22644,1766,09/22/17
88234100045,Audi,1,Body,,No,No,No,0,0,0,0,0,0,0,18,0,0,0,44,0,0,0,86,0,0,0,52,62,20966,1907,09/22/17
88234100054,Volkswagen,2,Body,,Yes,No,No,0,0,0,0,0,0,0,64,0,0,0,286,2,0,0,346,0,0,0,222,285,426185,66195,09/22/17
88234100057,Volkswagen,1,Body,,No,No,No,0,0,0,0,0,0,0,21,0,0,0,153,1,0,0,233,0,0,0,204,250,242623,54355,09/22/17
88234100056,Volkswagen,2,Body,,No,No,No,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,78,0,0,0,36,42,17067,6536,09/22/17
B-6854,BMW,1,Engine,Yes,No,Yes,No,0,0,0,0,19,30,2,57,37,4,8,53,3,2,9,16,0,3,0,9,8,28194,2534,09/22/17
B-6855,BMW,1,Engine,Yes,Yes,Yes,No,0,0,0,0,0,30,2,38,50,9,8,71,2,2,10,15,3,5,0,13,13,28194,2534,09/22/17
C111608,BMW,2,Electrical,Yes,Yes,No,No,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,6,0,0,0,12,14,0,0,09/22/17
88234100043,Audi,2,Body,,Yes,No,No,0,0,0,0,0,0,0,28,0,0,0,139,0,0,0,88,2,0,0,69,85,15498,1781,09/19/17
88234100049,Volkswagen,2,Body,,Yes,No,No,0,0,0,0,0,0,0,22,0,0,0,113,6,0,0,298,12,0,0,503,640,50360,6472,09/19/17
88234100024,BMW,2,Body,,Yes,No,No,0,0,0,0,0,0,0,25,0,0,0,46,0,0,0,40,2,0,0,47,55,10353,1038,09/19/17
88234100019,BMW,2,Body,,Yes,No,No,0,0,0,0,0,0,0,150,0,0,0,600,14,0,0,944,4,0,0,773,1080,453490,43961,09/19/17
88234100052,Volkswagen,2,Body,,No,No,No,0,0,0,0,0,0,0,31,0,0,0,123,0,0,0,111,0,0,0,85,109,45320,13382,09/19/17
88234100042,Audi,2,Body,,Yes,No,No,0,0,0,0,0,0,0,6,0,0,0,25,0,0,0,16,2,0,0,22,24,5871,484,09/19/17
88234100018,BMW,2,Body,,No,No,No,0,0,0,0,0,0,0,36,0,0,0,89,0,0,0,64,0,0,0,62,77,111092,10207,09/19/17
B-8451,BMW,6,Electrical,Yes,Yes,Yes,Yes,0,0,0,0,229,0,84,384,271,33,109,1134,261,188,157,1347,135,316,172,1246,1524,262070,19624,09/19/17
88234100015,BMW,2,Body,,No,No,No,0,0,0,0,0,0,0,18,0,0,0,64,0,0,0,34,0,0,0,29,34,9074,331,09/19/17
88234100011,BMW,2,Body,,No,No,No,0,0,0,0,0,0,0,64,0,0,0,130,0,0,0,187,0,0,0,123,218,121964,18362,09/19/17
88234100012,BMW,2,Body,,No,No,No,0,0,0,0,0,0,0,54,0,0,0,93,0,0,0,105,0,0,0,72,112,121964,18362,09/19/17
88234100048,Volkswagen,1,Body,,Yes,No,No,0,0,0,0,0,0,0,9,0,0,0,31,5,0,0,44,0,0,0,30,36,27691,6679,09/19/17
B-8459,BMW,1,Transmission,Yes,Yes,Yes,Yes,0,0,0,0,29,0,0,67,93,0,46,203,10,3,58,200,44,12,61,217,239,26820,1734,09/19/17
B-7032,Mercedes-Benz,1,Electrical,Yes,No,Yes,Yes,0,0,0,0,26,0,30,69,132,14,73,265,66,40,55,195,0,83,50,193,198,18276,1456,09/18/17
B-8297,BMW,1,Electrical,Yes,Yes,Yes,Yes,0,0,0,0,201,0,120,357,240,0,23,419,579,54,98,1058,264,83,41,602,779,142830,8538,09/18/17
B-6824,Volkswagen,1,Fuel,Yes,Yes,Yes,Yes,0,0,0,0,0,0,7,16,0,1,34,98,0,0,20,65,4,15,15,92,104,0,0,09/15/17
SD-5154,BMW,8,Electrical,,Yes,No,No,0,0,0,0,0,0,0,43,0,0,0,221,0,0,0,47,45,0,0,109,96,24069,2819,09/14/17
88234100010,BMW,2,Body,,Yes,No,No,0,0,0,0,0,0,0,47,0,0,0,56,0,0,0,64,2,0,0,41,54,211081,32438,09/14/17
88234100038,Mercedes-Benz,1,Body,,No,No,No,0,0,0,0,0,0,0,29,0,0,0,24,3,0,0,34,0,0,0,21,29,237374,27934,09/14/17
88234100028,Mercedes-Benz,2,Body,,No,No,No,0,0,0,0,0,0,0,38,0,0,0,103,2,0,0,109,0,0,0,86,118,108449,4906,09/14/17
88234100020,BMW,2,Body,,Yes,No,No,0,0,0,0,0,0,0,249,0,0,0,427,4,0,0,717,17,0,0,629,834,461156,45168,09/14/17
88234100014,BMW,2,Body,,Yes,No,No,0,0,0,0,0,0,0,142,0,0,0,468,10,0,0,727,22,0,0,507,739,257326,14983,09/14/17
B-8207,Jaguar,1,Body,Yes,Yes,No,No,0,0,0,0,0,0,0,3,0,0,0,17,2,0,0,11,0,0,0,4,10,34353,1963,09/14/17
,,0,,,No,No,No,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/13/17
B-8330,Porsche,1,Exhaust,Yes,Yes,No,No,0,0,0,0,0,0,0,9,0,0,0,16,2,0,0,8,6,0,0,24,26,2347,221,09/12/17
88234100046,Audi,1,Body,,Yes,No,No,0,0,0,0,0,0,0,110,0,0,0,441,0,0,0,588,1,0,0,414,522,209079,30168,09/12/17
B-6928,Porsche,2,Body,Yes,Yes,No,Yes,0,0,0,0,0,0,28,459,0,0,108,239,6,0,115,640,2,0,105,425,474,13316,426,09/11/17
88234100006,Mini,2,Body,,Yes,Yes,No,0,0,0,0,0,0,0,99,0,1,0,458,2,31,0,719,4,163,0,459,667,120821,11686,09/11/17
88234100030,Mercedes-Benz,2,Body,,No,No,No,0,0,0,0,0,0,0,79,0,0,0,251,0,0,0,283,0,0,0,213,306,163845,13410,09/11/17
B-6829,Porsche,6,Body,Yes,Yes,No,Yes,0,0,0,0,0,0,12,91,0,0,16,158,0,0,20,85,2,0,19,131,131,9352,231,09/08/17
B-8193,BMW,1,Steering,Yes,Yes,Yes,No,0,0,0,0,0,0,0,25,0,0,0,195,104,0,0,319,355,29,0,698,956,820025,94070,09/08/17
,,0,,,No,No,No,0,0,0,0,0,0,0,25,0,0,0,30,0,0,0,20,0,0,0,0,35,0,0,09/08/17
EG90282,BMW,1,Engine,,Yes,Yes,Yes,0,0,0,0,0,0,80,126,0,17,147,497,0,101,41,533,1,211,52,565,667,158196,17797,09/07/17
LY-H013,,1,,,No,No,No,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,09/06/17
B-8299,Jaguar,2,Body,Yes,No,No,No,0,0,0,0,0,0,0,25,0,0,0,24,0,0,0,24,0,0,0,31,33,9790,1164,09/01/17
GPS710SLCB,,0,,,No,No,No,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,09/01/17
994034,BMW,2,Suspension,,No,No,No,0,0,0,0,0,0,0,42,0,0,0,31,0,0,0,14,0,0,0,32,36,331816,55629,08/31/17
88234100035,Mercedes-Benz,2,Body,,No,No,No,0,0,0,0,0,0,0,9,0,0,0,115,0,0,0,161,0,0,0,83,132,158741,7350,08/31/17
88234100029,Mercedes-Benz,1,Body,,No,No,No,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,11,0,0,0,11,12,144478,19676,08/31/17
88234100033,Mercedes-Benz,2,Body,,No,No,No,0,0,0,0,0,0,0,20,0,0,0,16,7,0,0,34,0,0,0,7,17,410362,32230,08/31/17
88234100027,Mercedes-Benz,2,Body,,Yes,No,No,0,0,0,0,0,0,0,6,0,0,0,50,3,0,0,110,2,0,0,100,131,48307,3216,08/31/17
B-8442,Mercedes-Benz,1,Cooling,Yes,Yes,No,Yes,0,0,0,0,49,0,43,110,36,0,81,200,8,0,109,181,11,0,73,144,212,243818,14819,08/30/17
301087,BMW,2,Suspension,,Yes,No,No,0,0,0,0,0,0,0,88,0,0,0,158,4,0,0,203,0,0,0,126,135,121964,18362,08/25/17
H12-4124,Mercedes-Benz,2,Suspension,,No,No,No,0,0,0,0,0,0,0,60,0,0,0,142,0,0,0,0,0,0,0,15,21,285046,11767,08/24/17
994011,BMW,2,Suspension,,No,No,No,0,0,0,0,0,0,0,17,0,0,0,88,0,0,0,25,0,0,0,32,37,30490,2459,08/24/17
,,1,,,No,No,No,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,08/24/17
C081616,Mercedes-Benz,1,Fuel,Yes,Yes,No,Yes,0,0,0,0,0,0,50,64,0,0,11,71,1,0,42,82,1,0,37,72,80,42342,2311,08/23/17
216012,Mercedes-Benz,1,Drivetrain & Hub,,No,No,No,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,10,0,0,0,16,17,17655,2507,08/22/17
221 240 13 17,Mercedes-Benz,2,Engine,,Yes,No,No,0,0,0,0,0,0,0,11,0,0,0,23,3,0,0,19,1,0,0,18,27,10609,863,08/22/17
994012,BMW,2,Suspension,,No,Yes,No,0,0,0,0,0,82,0,106,0,10,0,172,0,79,0,166,0,68,0,157,192,107357,8738,08/17/17
994028,BMW,2,Suspension,,No,Yes,No,0,0,0,0,0,78,0,116,0,13,0,93,2,50,0,70,0,82,0,95,117,183921,36023,08/17/17
994021,BMW,2,Suspension,,Yes,Yes,No,0,0,0,0,0,88,0,109,0,25,0,118,0,75,0,101,2,85,0,118,150,228790,9329,08/17/17
994026,BMW,2,Suspension,,No,Yes,No,0,0,0,0,0,77,0,99,0,2,0,59,0,17,0,31,0,38,0,42,52,74943,6942,08/17/17
AC731Z,,0,,,No,No,No,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,08/16/17
B-8377,Porsche,1,Body,Yes,No,No,No,0,0,0,0,0,0,0,15,0,0,0,14,0,0,0,6,0,0,0,2,3,0,0,08/15/17
994023,Mini,2,Suspension,,No,No,No,0,0,0,0,0,0,0,26,0,0,0,119,0,0,0,62,0,0,0,95,117,318835,32200,08/11/17
DY8051,Porsche,1,Climate Control,,No,Yes,Yes,0,0,0,0,0,7,19,40,0,4,19,55,0,4,12,46,0,12,13,64,76,194796,23195,08/11/17
,Mercedes-Benz,1,Fuel,,No,Yes,No,0,0,0,0,0,107,0,145,0,207,0,367,0,305,0,637,0,425,0,747,877,766993,47722,08/10/17
B-8221,Porsche,2,Steering,Yes,Yes,Yes,Yes,0,0,0,0,0,46,0,366,0,52,36,162,8,59,37,233,6,56,30,178,282,46202,2593,08/08/17
EG90426,Mini,1,Engine,,Yes,Yes,Yes,0,0,0,0,0,0,21,40,0,0,15,82,0,0,29,81,1,24,10,66,86,73216,8386,08/08/17
IA-BW11,BMW,1,Body,,Yes,Yes,Yes,0,0,0,0,34,30,31,145,92,22,97,536,24,137,61,1060,57,89,55,1244,1408,667664,65202,08/07/17
,Porsche,1,Body,,No,No,No,0,0,0,0,0,0,0,30,0,0,0,88,0,0,0,12,0,0,0,26,26,8835,234,08/04/17
IA-BW10,BMW,1,Body,,Yes,Yes,Yes,0,0,0,0,78,37,80,343,279,120,267,1832,213,342,115,3268,204,274,121,3273,3886,667664,65202,08/02/17
B-8443,Mercedes-Benz,1,Fuel,Yes,No,No,Yes,0,0,0,0,0,0,12,20,0,2,2,22,1,0,2,13,0,0,16,46,41,49086,5591,08/02/17
B-8275,BMW,10,Engine,Yes,Yes,Yes,Yes,0,0,0,0,0,0,180,214,323,0,110,884,448,227,244,1239,801,249,592,1917,2336,36189,4159,08/02/17
B-8422,Mercedes-Benz,6,Electrical,Yes,No,Yes,No,0,0,0,0,0,0,0,22,0,12,0,24,0,20,0,65,0,28,0,35,35,109612,6599,08/02/17
SD-3036,Pontiac,1,Electrical,,Yes,No,No,0,0,0,0,0,0,0,11,0,0,0,30,174,0,0,229,31,0,0,88,130,184743,0,08/02/17
UKB07-34112,Volkswagen,1,Accessories,,No,Yes,No,0,0,0,0,0,30,0,47,0,8,0,92,1,2,0,41,0,35,0,66,76,402513,87959,08/01/17
B-8294,BMW,2,Electrical,Yes,Yes,Yes,Yes,0,0,0,0,0,0,170,309,400,144,82,1698,536,262,86,2885,381,183,66,2013,2612,258746,21818,08/01/17
H11-3453,Audi,2,Suspension,,Yes,No,No,0,0,0,0,0,0,0,52,0,0,0,110,0,0,0,117,6,0,0,208,227,305864,39608,07/31/17
UKB07-34111,Volkswagen,1,Accessories,,Yes,Yes,No,0,0,0,0,0,30,0,52,0,8,0,109,3,43,0,104,1,54,0,82,99,402513,87959,07/31/17
C091602,BMW,1,Engine,Yes,Yes,Yes,Yes,0,0,0,0,0,0,100,146,320,141,164,854,983,382,202,2318,887,260,116,1954,2577,2000488,203337,07/28/17
G101606,Porsche,2,Body,Yes,No,No,Yes,0,0,0,0,0,0,11,139,0,0,25,35,1,0,12,49,0,0,35,52,80,9352,231,07/27/17
EG90128,Audi,1,Engine,,No,Yes,Yes,0,0,0,0,0,0,0,21,0,0,9,66,1,0,10,66,0,21,8,55,66,11222,1108,07/27/17
B-8328,Porsche,2,Exhaust,Yes,Yes,No,No,0,0,0,0,0,0,0,1035,0,0,0,193,4,0,0,117,16,0,0,227,233,21821,1118,07/26/17
,,0,,,No,No,No,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/26/17
LY-A092,Volkswagen,1,Cooling,,Yes,No,No,0,0,0,0,0,0,0,67,0,0,0,177,307,0,0,528,181,0,0,389,533,507044,131008,07/25/17
B-8223,Volkswagen,1,Engine,Yes,Yes,Yes,Yes,0,0,0,0,0,0,24,105,57,0,43,263,91,86,57,384,126,118,34,481,565,24736,3508,07/24/17
B-6693,Porsche,1,Electrical,Yes,Yes,Yes,No,0,0,0,0,0,0,0,88,0,0,0,225,4,0,0,339,2,11,0,394,435,42022,2640,07/24/17
B-8356,Porsche,4,Engine,Yes,No,Yes,Yes,0,0,0,0,0,0,39,177,0,0,109,184,3,3,28,151,0,5,59,136,152,3618,304,07/24/17
B-8295,BMW,2,Electrical,Yes,Yes,Yes,Yes,0,0,0,0,0,0,86,226,227,46,18,1021,205,114,116,1404,101,178,45,1624,2084,246543,19523,07/20/17
